,Comment,Text_English
0,bneran ps,Bernan PS.
1,mati indonesia duka ya,die indonesia sorrow
2,kena batu jelekquotin umat muslim pede pakai,hit by jelekquotin stones with Muslim people wearing
3,gayyy kau nonton bokep cowo pulak,Gayyy You Watch Pokep Cowo Pulak
4,sempet nya muka ngelawak pas tangkap makan tuh dark jokes real,Sempet is the face of singing when catching a real dark jokes
5,baku kaget layb,Raw is shocked Layb
6,isi komentar beda banding jefri nicol pas kena narkoba miris,The contents of the comments differently appeal Jefri Nicol when they got sad drugs
7,sangka dah korpuratif putagas bentakitulah seba rakyat suka polisiterlalu arogan,SANGKA DAH CORPURATIVE PLAGAS BETIONS Seba People Like PolisiterLalu Arogan
8,atheis plus gay brbrmalaikat be like hmm paket lengkap nih,atheis plus gay brbrmalaka be like hmm complete package
9,sopan koopratif tapikok tahan ya,cooprative polite tapikok
10,cli pardede penjara cli hahhhaaaaa,CLI Pardede Prison CLI Hahhhaaaaa
11,whyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,whatyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy.
12,buka youtuber sok keras ya narkoboi,"open a youtuber hard, narcoboi"
13,why ,Why.
14,a href combai lambai,a href combai lambai
15,orang klopun salah digrebek panik bikin caption,the wrong person is wrong with panic making caption
16,pantes ya ngomong ngaco ter penguna narkoba aneh idola orang sakau,"Pantes, yeah, talking to the strange user of the idol drug"
17,dateng kesini meme bohong br ,"come here, bro"
18,jual oknum nangkap oknum,selling individuals
20,tong liat betol waras,tong clay betol sane
21,mampussss,Mampussss
22,ujung ujung nya uang deh,the tip of the money is money
23,bokep cowobrcanda cowo ,Porn Cowobrcanda Cowo.
24,bokep cowok,BOKEP COWOK
25,wkkwkwkwkwk huu,Wkkwkwkwkwk Huu.
26,heran ya manusia nganggep tretan lawak komedian lucu mana mah lucu lucu alias garing,"Wonder, humans are gone to the trete of comedian comedians, which are funny, funny, aka crisp"
27,lawa garing pas tangkap lucu banget ,crisp lawa fitting funny cute
28,wkwkwk mampusss,Wkwkwk Mampusss
29,tretan be like why,Surn of BE Like Why
30,bneran nih ,Bernan
31,gila serahin bb nya,crazy bb attack
32,tagline of the year bantu lae,Tagline of the year help late
33,nonton bokep cowok salah denger yakk,Watch the bokep guy wrongly hears you
34,kaget bang,Shocked Bang
35,panik panik panik gabrpaniklah eggga,panic panic panic gabrpaniklah eggga
36,suntik narkoba anal grebek pas nonton bokep homo tegur orang orang paham bebas ikut,Anal Narcotics Injection Grebek Pas Watch Bokep Homo Bold People People Free Follow
37,pas tangkap gni ku lohat kodok medan,when I caught my frog of the field
38,quotaku kaget bangquot,Quotaku is shocked by Bangquot
39,mntp bang,mntp bang
40,nonton boep cowok wkwkwkkw,Watch the BOEP WKWKWKKW
41,ketawa sedang yakaget,laughing is Yakaget
42,moga si tretan post video si tretan si quottenang bro canda prankquot,Moga Si Signan Post Video Si Si Quottenang Bro Canda Prankquot
43,kcian chokimnt tolong sm ya,kcian chokimnt please sm yes
44,hahaha rasain lo,Hahaha Rasain Lo.
45,oceh tunggu puja,Oceh Wait for Puja
46,bang suka mnjadikan rassul canda akibat gin allah balas tunai prbuatanmu allah buka aib abang bahan canda manusiaselamat abang smoga kjadian buka hati mndapat hidayah dari allah set,"Bang likes to take a rassul of the jokes due to God's cash reply to your prefances of God, Open a disgrace of the brother of the joke of human beings, bro, I hope that you can open the heart of God set"
47,hina allah rasul ganti allah malu ketangkep nonton boep homobrthe real pemuda,Hina Allah Rasul Change God Shy Ketangkep Watch BOP Homobrthe Real Youth
48,homo pantes,Homo Pantes
49,hahahahhahahahahahahhahahahahahahhahahahahahhahahahahahah,hahahahhahahahahahahhahahahahahahhahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah
50,jlek tingkah lujadi tangkpsukurinnnnnnn,JLEK LAJADI TANGKPSPSUKIKURINNNNNN
51,sesat narkoba jln pilih horeee,Heretics of Narcotics Jln Select Horeee
52,prank parah duniabrngundang bnn chanela tangkappbrwkwkwkwkwkwkwkwkwk,Severe Prank DuniaBrngundang BNN Chanela Tangkapprbrwkwkwkwkwkwkwkwkwk
53,moga bantah video senang,hopefully deny a happy video
54,turut kooperatif gimanapun pribadi nikmat karya semangat bang cokiii,cooperative cooperatively personally favors the work of spirit of bang cokiii
55,alhamdulillaaah terang benderang,Alhamdulillaaah bright
56,rem tato rambut pirang nonton nya bokep cowok hahahahhah,brake tattoo blonde hair watching it bokep hahahahhah
57,alhamdulillah saudara kembar ditangkep jg tuh tangkep polisi bikin busuk penjara,"Alhamdulillah, the twin brother was held, the police tangkep made a prison rot"
58,bantu abangquot ngondek,Help Abangquot Ngondek
59,sok keras lobrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrnakoboy,Sok hard lobrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbbrnakoboy
60,bau kecoa,smell of cockroaches
61,si live komika gie tarik senyum ditangkep senyum lihat,Si Live Komika Gie Pull Smile Insepted Smile Look
62,boong mwahaahaha,Boong Mwahaahaha.
63,a href nonton bokep cowobr gy,a href watching bokep cowobr gy
64,karma,Karma
65,why,Why.
66,rasanyaaa tertawa bahak alhmdulillah puass denger berita modarr,It's laughing by laughing alhmdulillah compounding listening to modarr news
67,garang becandaan lord ,Garang bechan Lord
68,tingkah laku sok an pengaruh sabu sampah,pretentious behavior of the effect of garbage shabu
70,hahahaahhahahahaha,Hahahaahhahahahaha.
71,kasi smg cpt sembuh pemuda temu jalan ,kasi smg cpt cured youth meeting the road
72,ucap doa brpemuda beneran ,said brpemuda really
74,terkadang rosting emng dasar pengalamaan pribadijd hati laah mulut mukarna mulut terkam,sometimes ROSING EMNG is the basis of personal realriaryjd heart away the mouth of Manna's mouth
75,hebat nge prank,Great Nge Prank
76,gaya so keren si ,so cool style
77,inisih why wkqk,Inisih Why Wkqk
78,subhanallah tangkap lelucon bermututangkap orang nya neh,Subhanallah Capture Jokes Battle of the People Neh
79,alhamdulillah     bukti pemuda,Alhamdulillah proof of youth
80,a href pekob cowok,a href peekob guy
81,tembak mati polisi si nya,Shoot the police death
82,a href orang nyulutin mercon tahu be like,a href people nyulutin mercon know be like
83,has sidebringin cari tantang adrenalinbrdigrebek panik,Has Sidebringin Search Challenge AdrenalinbrDigrebek Panic
84,komedian lucugaring selamat mndekam jeruji,Lucugaring Comedian Congratulations on Gerdekam Bar
85,muka rem nonton bokepbokep cowokhahahahahahaanjing dasar,Face Brake Watch Bokepbokep Cowokhahahahahaanaanjing Base
86,kapok sukurin alhamdulillah,Kapok Sukurin Alhamdulillah
87,outfit orang kaget check,Outfit People are shocked to check
88,parag sih nonton bokep cowo,Parag is watching bokep guy
89,prank lucu muka bumi gep polisi muakanya lucu bangt,"the funny face of the earth gep, the police are funny"
90,salfok ama bokep cowo,salfok ama bokep guy
91,lucu yah,Funny
92,orang guna,Guna people
93,lawa garing bro pas tangkap suwer lucu banget ,Garing Lawa Bro When Catching Suwer is really funny
94,level brjokesbrlevel brdark jokesbrlevel brakting pemuda tersesatbrlevel coba coba pemuda tersesatbrlevel brreal pemuda brtitlelost youth legend,Levels of Brjokesbrlevel Brdark JokesbrleVel Brakting Youth Gettingbrevel Try Try Try Youth Get Legvel Breveal Youth Brtitlelost Youth Legend
95,gin bkin konten bikin gua ketawa ngakak,Gin Bkin Content Makes I Laugh
96,a href kaya sih,a rich href
97,paman tolong sabar jadi teori big bang,"Uncle, please be patient with the Big Bang's theory"
98,ngerekam ya sengaja sebar rekam diposting,broke out deliberately spread recording posted
99,nonton bokep cowo wkwkwkwk,Watch bokep guy wkwkwkwk
100,sampah ,rubbish
101,humanis,Humanis
103,percaya manusia suka kritik orang perintah dia busuk olah orang atas negara,believe humans like criticizing people orders he rotates people over the country
104,nonton vokep cowo,Watch the Cowo Vokep
105,nonton bokep cwo aj ,watch bokep cwo aj
106,ketawa takut dosa,laugh fear sin
107,bangga kompas ,Proud of Kompas
108,why why tangkep tangkep alhamdullilah ya allah swt ya rabb papol amp kait kerjasamanya manusia lihat amp dasar buat amp laku banyak ngomongnya di,Why Why Tangkep Bangkep Alhamdullilah O Allah SWT Yes Rabb Papol AMP Hook Human Cooperation View AMP Basics for AMP Lake Many Way On
109,ngeri kali bokep cwok ,horrified times a cwok bokep
110,mampus kau ,I do not care!! Hahahaha
111,hedeeehh bencong ,hedeeehh bencong.
112,bilang aldi pansos ehh kena penjara aalah pemuda goblok dunia,Say Aldi Pansos Ehh Prison Is Prison Are Youth Stopped World
113,komika sampah,Trash comic
114,lol,Lol
115,mantap nyonk suruh ngelawak si anak ank bbi orang kena mushibah syukur,steady nyonk told me to sing the child Ank BBI people get mushibused gratitude
116,hahaha,ha ha ha
117,ebietbrselalu salah bangga dosadosa,Ebietbr Allowed Salah Proud Dosadosa
118,main film indosiarnggak nya inisiapa ya artisartis ya prestasi nya pakai nyabu pulatampang maaf yanggak tampan amatapa artis,playing the indosiarggak movie inisaapa yes artisartis yes the achievement is used by nyabu puliamang sorry yo handsome amazing artist
119,tingkah,Act
120,moga tahan,Hopefully
121,pucat,pale
122,konten make hemmmm,Make Hemmmm Content
